nome.empresa,setor.1,setor.2,setor.3,patrimonio.liquido,lucro.liquido,atividades.operacionais,total.acoes,mil
METISA METALURGICA TIMBOENSE S.A.,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Construção e Agrícolas,234667110,4096528,13794218,NA,FALSE
MGI - MINAS GERAIS PARTICIPAÇÕES S.A.,Outros,Outros,Outros,435014e3,8724e3,25839e3,0,TRUE
MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.,Bens Industriais,Construção e Engenharia,Serviços Diversos,741445e3,-92e5,24527e3,NA,TRUE
MINASMAQUINAS S.A.,Bens Industriais,Comércio,Material de Transporte,140519e3,7224e3,-13092e3,5.482,TRUE
MINERVA S.A.,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,-373645e3,-31406e3,239341e3,NA,TRUE
MINUPAR PARTICIPACOES S.A.,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,-35754e4,2452e3,1179e3,NA,TRUE
MMX MINERACAO E METALICOS S.A.,Materiais Básicos,Mineração,Minerais Metálicos,-620111e3,-7301e3,-195e3,NA,TRUE
MONTEIRO ARANHA S.A.,Financeiro,Holdings Diversificadas,Holdings Diversificadas,1100252e3,1271e4,5927e4,NA,TRUE
MOVIDA PARTICIPACOES SA,Consumo Cíclico,Diversos,Aluguel de carros,1680825e3,41983e3,-192938e3,NA,TRUE
MRS LOGISTICA S.A.,Bens Industriais,Transporte,Transporte Ferroviário,396017e4,115879e3,243322e3,NA,TRUE
MRV ENGENHARIA E PARTICIPACOES S.A.,Consumo Cíclico,Construção Civil,Incorporações,5067551e3,196789e3,-1259e3,NA,TRUE
MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,Financeiro,Exploração de Imóveis,Exploração de Imóveis,5450583e3,91331e3,252182e3,NA,TRUE
MUNDIAL S.A. - PRODUTOS DE CONSUMO,Consumo Cíclico,Tecidos. Vestuário e Calçados,Acessórios,-13421e4,259e3,12205e3,NA,TRUE
NADIR FIGUEIREDO IND E COM S.A.,Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos,410305e3,12521e3,22416e3,440.406,TRUE
NATURA COSMETICOS S.A.,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal,2733853e3,13474e3,-354199e3,NA,TRUE
NEOENERGIA S.A.,Utilidade Pública,Energia Elétrica,Energia Elétrica,1810263e4,509722e3,609719e3,NA,TRUE
NORDON INDUSTRIAS METALURGICAS S.A.,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,-139339e3,-373e3,-3e3,71.121,TRUE
